Date,^GSPC,^DJI,^IXIC
2015-01-29,2021.25,17416.849609375,4683.41015625
2015-01-30,1994.989990234375,17164.94921875,4635.240234375
2015-02-02,2020.8499755859375,17361.0390625,4676.68994140625
2015-02-03,2050.030029296875,17666.400390625,4727.740234375
2015-02-04,2041.510009765625,17673.01953125,4716.7001953125
2015-02-05,2062.52001953125,17884.880859375,4765.10009765625
2015-02-06,2055.469970703125,17824.2890625,4744.39990234375
2015-02-09,2046.739990234375,17729.2109375,4726.009765625
2015-02-10,2068.590087890625,17868.759765625,4787.64013671875
2015-02-11,2068.530029296875,17862.140625,4801.18017578125
2015-02-12,2088.47998046875,17972.380859375,4857.60986328125
2015-02-13,2096.989990234375,18019.349609375,4893.83984375
2015-02-17,2100.340087890625,18047.580078125,4899.27001953125
2015-02-18,2099.679931640625,18029.849609375,4906.35986328125
2015-02-19,2097.449951171875,17985.76953125,4924.7001953125
2015-02-20,2110.300048828125,18140.439453125,4955.97021484375
2015-02-23,2109.659912109375,18116.83984375,4960.97021484375
2015-02-24,2115.47998046875,18209.189453125,4968.1201171875
2015-02-25,2113.860107421875,18224.5703125,4967.14013671875
2015-02-26,2110.739990234375,18214.419921875,4987.89013671875
2015-02-27,2104.5,18132.69921875,4963.52978515625
2015-03-02,2117.389892578125,18288.630859375,5008.10009765625
2015-03-03,2107.780029296875,18203.369140625,4979.89990234375
2015-03-04,2098.530029296875,18096.900390625,4967.14013671875
2015-03-05,2101.0400390625,18135.720703125,4982.81005859375
2015-03-06,2071.260009765625,17856.779296875,4927.3701171875
2015-03-09,2079.429931640625,17995.720703125,4942.43994140625
2015-03-10,2044.1600341796875,17662.939453125,4859.7900390625
2015-03-11,2040.239990234375,17635.390625,4849.93994140625
2015-03-12,2065.949951171875,17895.220703125,4893.2900390625
2015-03-13,2053.39990234375,17749.310546875,4871.759765625
2015-03-16,2081.18994140625,17977.419921875,4929.509765625
2015-03-17,2074.280029296875,17849.080078125,4937.43017578125
2015-03-18,2099.5,18076.189453125,4982.830078125
2015-03-19,2089.27001953125,17959.029296875,4992.3798828125
2015-03-20,2108.10009765625,18127.650390625,5026.419921875
2015-03-23,2104.419921875,18116.0390625,5010.97021484375
2015-03-24,2091.5,18011.140625,4994.72998046875
2015-03-25,2061.050048828125,17718.5390625,4876.52001953125
2015-03-26,2056.14990234375,17678.23046875,4863.35986328125
2015-03-27,2061.02001953125,17712.66015625,4891.22021484375
2015-03-30,2086.239990234375,17976.310546875,4947.43994140625
2015-03-31,2067.889892578125,17776.119140625,4900.8798828125
2015-04-01,2059.68994140625,17698.1796875,4880.22998046875
2015-04-02,2066.9599609375,17763.240234375,4886.93994140625
2015-04-06,2080.6201171875,17880.849609375,4917.31982421875
2015-04-07,2076.330078125,17875.419921875,4910.22998046875
2015-04-08,2081.89990234375,17902.509765625,4950.81982421875
2015-04-09,2091.179931640625,17958.73046875,4974.56005859375
2015-04-10,2102.06005859375,18057.650390625,4995.97998046875
2015-04-13,2092.429931640625,17977.0390625,4988.25
2015-04-14,2095.840087890625,18036.69921875,4977.2900390625
2015-04-15,2106.6298828125,18112.609375,5011.02001953125
2015-04-16,2104.989990234375,18105.76953125,5007.7900390625
2015-04-17,2081.179931640625,17826.30078125,4931.81005859375
2015-04-20,2100.39990234375,18034.9296875,4994.60009765625
2015-04-21,2097.2900390625,17949.58984375,5014.10009765625
2015-04-22,2107.9599609375,18038.26953125,5035.169921875
2015-04-23,2112.929931640625,18058.689453125,5056.06005859375
2015-04-24,2117.68994140625,18080.140625,5092.080078125
2015-04-27,2108.919921875,18037.970703125,5060.25
2015-04-28,2114.760009765625,18110.140625,5055.419921875
2015-04-29,2106.85009765625,18035.529296875,5023.64013671875
2015-04-30,2085.510009765625,17840.51953125,4941.419921875
2015-05-01,2108.2900390625,18024.060546875,5005.39013671875
2015-05-04,2114.489990234375,18070.400390625,5016.93017578125
2015-05-05,2089.4599609375,17928.19921875,4939.330078125
2015-05-06,2080.14990234375,17841.98046875,4919.64013671875
2015-05-07,2088.0,17924.060546875,4945.5400390625
2015-05-08,2116.10009765625,18191.109375,5003.5498046875
2015-05-11,2105.330078125,18105.169921875,4993.56982421875
2015-05-12,2099.1201171875,18068.23046875,4976.18994140625
2015-05-13,2098.47998046875,18060.490234375,4981.68994140625
2015-05-14,2121.10009765625,18252.240234375,5050.7998046875
2015-05-15,2122.72998046875,18272.560546875,5048.2900390625
2015-05-18,2129.199951171875,18298.880859375,5078.43994140625
2015-05-19,2127.830078125,18312.390625,5070.02978515625
2015-05-20,2125.85009765625,18285.400390625,5071.740234375
2015-05-21,2130.820068359375,18285.740234375,5090.7900390625
2015-05-22,2126.06005859375,18232.01953125,5089.35986328125
2015-05-26,2104.199951171875,18041.5390625,5032.75
2015-05-27,2123.47998046875,18162.990234375,5106.58984375
2015-05-28,2120.7900390625,18126.119140625,5097.97998046875
2015-05-29,2107.389892578125,18010.6796875,5070.02978515625
2015-06-01,2111.72998046875,18040.369140625,5082.93017578125
2015-06-02,2109.60009765625,18011.939453125,5076.52001953125
2015-06-03,2114.070068359375,18076.26953125,5099.22998046875
2015-06-04,2095.840087890625,17905.580078125,5059.1201171875
2015-06-05,2092.830078125,17849.4609375,5068.4599609375
2015-06-08,2079.280029296875,17766.55078125,5021.6298828125
2015-06-09,2080.14990234375,17764.0390625,5013.8701171875
2015-06-10,2105.199951171875,18000.400390625,5076.68994140625
2015-06-11,2108.860107421875,18039.369140625,5082.509765625
2015-06-12,2094.110107421875,17898.83984375,5051.10009765625
2015-06-15,2084.429931640625,17791.169921875,5029.97021484375
2015-06-16,2096.2900390625,17904.48046875,5055.5498046875
2015-06-17,2100.43994140625,17935.740234375,5064.8798828125
2015-06-18,2121.239990234375,18115.83984375,5132.9501953125
2015-06-19,2109.989990234375,18015.94921875,5117.0
2015-06-22,2122.85009765625,18119.779296875,5153.97021484375
2015-06-23,2124.199951171875,18144.0703125,5160.08984375
2015-06-24,2108.580078125,17966.0703125,5122.41015625
2015-06-25,2102.31005859375,17890.359375,5112.18994140625
2015-06-26,2101.489990234375,17946.6796875,5080.509765625
2015-06-29,2057.639892578125,17596.349609375,4958.47021484375
2015-06-30,2063.110107421875,17619.509765625,4986.8701171875
2015-07-01,2077.419921875,17757.91015625,5013.1201171875
2015-07-02,2076.780029296875,17730.109375,5009.2099609375
2015-07-06,2068.760009765625,17683.580078125,4991.93994140625
2015-07-07,2081.340087890625,17776.91015625,4997.4599609375
2015-07-08,2046.6800537109375,17515.419921875,4909.759765625
2015-07-09,2051.31005859375,17548.619140625,4922.39990234375
2015-07-10,2076.6201171875,17760.41015625,4997.7001953125
2015-07-13,2099.60009765625,17977.6796875,5071.509765625
2015-07-14,2108.949951171875,18053.580078125,5104.89013671875
2015-07-15,2107.39990234375,18050.169921875,5098.93994140625
2015-07-16,2124.2900390625,18120.25,5163.18017578125
2015-07-17,2126.639892578125,18086.44921875,5210.14013671875
2015-07-20,2128.280029296875,18100.41015625,5218.85986328125
2015-07-21,2119.2099609375,17919.2890625,5208.1201171875
2015-07-22,2114.14990234375,17851.0390625,5171.77001953125
2015-07-23,2102.14990234375,17731.919921875,5146.41015625
2015-07-24,2079.64990234375,17568.529296875,5088.6298828125
2015-07-27,2067.639892578125,17440.58984375,5039.77978515625
2015-07-28,2093.25,17630.26953125,5089.2099609375
2015-07-29,2108.570068359375,17751.390625,5111.72998046875
2015-07-30,2108.6298828125,17745.98046875,5128.77978515625
2015-07-31,2103.840087890625,17689.859375,5128.27978515625
2015-08-03,2098.0400390625,17598.19921875,5115.3798828125
2015-08-04,2093.320068359375,17550.689453125,5105.5498046875
2015-08-05,2099.840087890625,17540.470703125,5139.93994140625
2015-08-06,2083.56005859375,17419.75,5056.43994140625
2015-08-07,2077.570068359375,17373.380859375,5043.5400390625
2015-08-10,2104.179931640625,17615.169921875,5101.7998046875
2015-08-11,2084.070068359375,17402.83984375,5036.7900390625
2015-08-12,2086.050048828125,17402.509765625,5044.39013671875
2015-08-13,2083.389892578125,17408.25,5033.56005859375
2015-08-14,2091.5400390625,17477.400390625,5048.240234375
2015-08-17,2102.43994140625,17545.1796875,5091.7001953125
2015-08-18,2096.919921875,17511.33984375,5059.35009765625
2015-08-19,2079.610107421875,17348.73046875,5019.0498046875
2015-08-20,2035.72998046875,16990.689453125,4877.490234375
2015-08-21,1970.8900146484375,16459.75,4706.0400390625
2015-08-24,1893.2099609375,15871.349609375,4526.25
2015-08-25,1867.6099853515625,15666.4404296875,4506.490234375
2015-08-26,1940.510009765625,16285.509765625,4697.5400390625
2015-08-27,1987.6600341796875,16654.76953125,4812.7099609375
2015-08-28,1988.8699951171875,16643.009765625,4828.31982421875
2015-08-31,1972.1800537109375,16528.029296875,4776.509765625
2015-09-01,1913.8499755859375,16058.349609375,4636.10009765625
2015-09-02,1948.8599853515625,16351.3798828125,4749.97998046875
2015-09-03,1951.1300048828125,16374.759765625,4733.5
2015-09-04,1921.219970703125,16102.3798828125,4683.919921875
2015-09-08,1969.4100341796875,16492.6796875,4811.93017578125
2015-09-09,1942.0400390625,16253.5703125,4756.52978515625
2015-09-10,1952.2900390625,16330.400390625,4796.25
2015-09-11,1961.050048828125,16433.08984375,4822.33984375
2015-09-14,1953.030029296875,16370.9599609375,4805.759765625
2015-09-15,1978.0899658203125,16599.849609375,4860.52001953125
2015-09-16,1995.31005859375,16739.94921875,4889.240234375
2015-09-17,1990.199951171875,16674.740234375,4893.9501953125
2015-09-18,1958.030029296875,16384.580078125,4827.22998046875
2015-09-21,1966.969970703125,16510.189453125,4828.9501953125
2015-09-22,1942.739990234375,16330.4697265625,4756.72021484375
2015-09-23,1938.760009765625,16279.8896484375,4752.740234375
2015-09-24,1932.239990234375,16201.3203125,4734.47998046875
2015-09-25,1931.3399658203125,16314.669921875,4686.5
2015-09-28,1881.77001953125,16001.8896484375,4543.97021484375
2015-09-29,1884.0899658203125,16049.1298828125,4517.31982421875
2015-09-30,1920.030029296875,16284.7001953125,4620.16015625
2015-10-01,1923.8199462890625,16272.009765625,4627.080078125
2015-10-02,1951.3599853515625,16472.369140625,4707.77978515625
2015-10-05,1987.050048828125,16776.4296875,4781.259765625
2015-10-06,1979.9200439453125,16790.189453125,4748.35986328125
2015-10-07,1995.8299560546875,16912.2890625,4791.14990234375
2015-10-08,2013.4300537109375,17050.75,4810.7900390625
2015-10-09,2014.8900146484375,17084.490234375,4830.47021484375
2015-10-12,2017.4599609375,17131.859375,4838.64013671875
2015-10-13,2003.68994140625,17081.890625,4796.60986328125
2015-10-14,1994.239990234375,16924.75,4782.85009765625
2015-10-15,2023.8599853515625,17141.75,4870.10009765625
2015-10-16,2033.1099853515625,17215.970703125,4886.68994140625
2015-10-19,2033.6600341796875,17230.5390625,4905.47021484375
2015-10-20,2030.77001953125,17217.109375,4880.97021484375
2015-10-21,2018.93994140625,17168.609375,4840.1201171875
2015-10-22,2052.510009765625,17489.16015625,4920.0498046875
2015-10-23,2075.14990234375,17646.69921875,5031.85986328125
2015-10-26,2071.179931640625,17623.05078125,5034.7001953125
2015-10-27,2065.889892578125,17581.4296875,5030.14990234375
2015-10-28,2090.35009765625,17779.51953125,5095.68994140625
2015-10-29,2089.409912109375,17755.80078125,5074.27001953125
2015-10-30,2079.360107421875,17663.5390625,5053.75
2015-11-02,2104.050048828125,17828.759765625,5127.14990234375
2015-11-03,2109.7900390625,17918.150390625,5145.1298828125
2015-11-04,2102.31005859375,17867.580078125,5142.47998046875
2015-11-05,2099.929931640625,17863.4296875,5127.740234375
2015-11-06,2099.199951171875,17910.330078125,5147.1201171875
2015-11-09,2078.580078125,17730.48046875,5095.2998046875
2015-11-10,2081.719970703125,17758.2109375,5083.240234375
2015-11-11,2075.0,17702.220703125,5067.02001953125
2015-11-12,2045.969970703125,17448.0703125,5005.080078125
2015-11-13,2023.0400390625,17245.240234375,4927.8798828125
2015-11-16,2053.18994140625,17483.009765625,4984.6201171875
2015-11-17,2050.43994140625,17489.5,4986.02001953125
2015-11-18,2083.580078125,17737.16015625,5075.2001953125
2015-11-19,2081.239990234375,17732.75,5073.64013671875
2015-11-20,2089.169921875,17823.810546875,5104.919921875
2015-11-23,2086.590087890625,17792.6796875,5102.47998046875
2015-11-24,2089.139892578125,17812.189453125,5102.81005859375
2015-11-25,2088.8701171875,17813.390625,5116.14013671875
2015-11-27,2090.110107421875,17813.390625,5127.52001953125
2015-11-30,2080.409912109375,17719.919921875,5108.669921875
2015-12-01,2102.6298828125,17888.349609375,5156.31005859375
2015-12-02,2079.510009765625,17729.6796875,5123.22021484375
2015-12-03,2049.6201171875,17477.669921875,5037.52978515625
2015-12-04,2091.68994140625,17847.630859375,5142.27001953125
2015-12-07,2077.070068359375,17730.509765625,5101.81005859375
2015-12-08,2063.590087890625,17568.0,5098.240234375
2015-12-09,2047.6199951171875,17492.30078125,5022.8701171875
2015-12-10,2052.22998046875,17574.75,5045.169921875
2015-12-11,2012.3699951171875,17265.2109375,4933.47021484375
2015-12-14,2021.93994140625,17368.5,4952.22998046875
2015-12-15,2043.4100341796875,17524.91015625,4995.35986328125
2015-12-16,2073.070068359375,17749.08984375,5071.1298828125
2015-12-17,2041.8900146484375,17495.83984375,5002.5498046875
2015-12-18,2005.550048828125,17128.55078125,4923.080078125
2015-12-21,2021.1500244140625,17251.619140625,4968.919921875
2015-12-22,2038.969970703125,17417.26953125,5001.10986328125
2015-12-23,2064.2900390625,17602.609375,5045.93017578125
2015-12-24,2060.989990234375,17552.169921875,5048.490234375
2015-12-28,2056.5,17528.26953125,5040.990234375
2015-12-29,2078.360107421875,17720.98046875,5107.93994140625
2015-12-30,2063.360107421875,17603.869140625,5065.85009765625
2015-12-31,2043.93994140625,17425.029296875,5007.41015625
2016-01-04,2012.6600341796875,17148.939453125,4903.08984375
2016-01-05,2016.7099609375,17158.66015625,4891.43017578125
2016-01-06,1990.260009765625,16906.509765625,4835.759765625
2016-01-07,1943.0899658203125,16514.099609375,4689.43017578125
2016-01-08,1922.030029296875,16346.4501953125,4643.6298828125
2016-01-11,1923.6700439453125,16398.5703125,4637.990234375
2016-01-12,1938.6800537109375,16516.220703125,4685.919921875
2016-01-13,1890.280029296875,16151.41015625,4526.06005859375
2016-01-14,1921.8399658203125,16379.0498046875,4615.0
2016-01-15,1880.3299560546875,15988.080078125,4488.419921875
2016-01-19,1881.3299560546875,16016.01953125,4476.9501953125
2016-01-20,1859.3299560546875,15766.740234375,4471.68994140625
2016-01-21,1868.989990234375,15882.6796875,4472.06005859375
2016-01-22,1906.9000244140625,16093.509765625,4591.18017578125
2016-01-25,1877.0799560546875,15885.2197265625,4518.490234375
2016-01-26,1903.6300048828125,16167.23046875,4567.669921875
2016-01-27,1882.949951171875,15944.4599609375,4468.169921875
